Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude
Nawab's Biryani,"North Indian, Biryani, Mughlai",700," Sector 18, Noida",4.1,306,485,https://www.zomato.com/ncr/nawabs-biryani-sector-18-noida,"C-16, Market, Gautam Budh Nagar, Sector 18, Noida",918287000000,28.57101037,77.32487798
Q Bistro,"Cafe, Fast Food, Chinese, Beverages",700," Janakpuri, New Delhi",4.1,515,874,https://www.zomato.com/ncr/q-bistro-janakpuri-new-delhi,"C-6B, DDA Shop, Vikas Surya Plaza Complex, Janakpuri, New Delhi",917838000000,28.61288784,77.09864572
Empress Of China - Eros Hotel,"Chinese, Seafood, Desserts",3300," Eros Hotel, Nehru Place, New Delhi",4.1,220,0,https://www.zomato.com/ncr/empress-of-china-eros-hotel-nehru-place-new-delhi,"Eros Hotel, American Plaza, Nehru Place, New Delhi",911141000000,28.54994994,77.24941872
Clip Kitchen,"Chinese, Italian, Continental, Asian, North Indian, Beverages",1000," Raj Nagar, Ghaziabad",4.1,447,1539,https://www.zomato.com/ncr/clip-kitchen-raj-nagar-ghaziabad,"R14/38, Raj Nagar, Ghaziabad",920000000000,28.67660931,77.44995173
The Second Wife Restaurant,"North Indian, Mughlai, Chinese, Fast Food",600," Hajipur, Noida",4.1,314,3671,https://www.zomato.com/ncr/the-second-wife-restaurant-hajipur-noida,"Shop G-1, Ozone Apartment, Hajipur, Noida",917285000000,28.540011,77.367941
The Great Indian Dosa,South Indian,500," Delhi University-GTB Nagar, New Delhi",4.1,466,6766,https://www.zomato.com/ncr/the-great-indian-dosa-delhi-university-gtb-nagar-new-delhi,"2521, Hudson Lane,Third Floor,  Delhi University-GTB Nagar, New Delhi",911144000000,28.6970097,77.20429122
Delhi - Kingdom of Dreams,"North Indian, Street Food",500," Kingdom of Dreams, Sector 29, Gurgaon",4.1,455,0,https://www.zomato.com/ncr/delhi-kingdom-of-dreams-sector-29,"Culture Gully, Kingdom of Dreams, Great Indian Nautanki Company, Auditorium Complex, Sector 29, Gurgaon",911245000000,28.46856279,77.06780098
Momopoly By Little Skillet,"Chinese, Fast Food, North Indian, Momos",500," Sector 49, Gurgaon",4.1,265,3183,https://www.zomato.com/ncr/momopoly-by-little-skillet-sector-49,"Shop 5, Sapphire Complex, Near Sohna Road, Sector 49, Gurgaon",919206000000,28.41179621,77.0491251
Mad Drop,"Burger, Pizza, Rolls, Sandwich, Fast Food, Desserts, Beverages",500," Sector 21, Faridabad",4.1,374,3132,https://www.zomato.com/ncr/mad-drop-sector-21-faridabad,"Shop 197, Near Sector 21 C, Sector 21, Faridabad",919319000000,28.4315741,77.2971265
Hudson Oven,"Cafe, Pizza",600," Delhi University-GTB Nagar, New Delhi",4.1,240,321,https://www.zomato.com/ncr/hudson-oven-delhi-university-gtb-nagar-new-delhi,"2524, First Floor, Hudson Lane, Delhi University - GTB Nagar, Delhi",911147000000,28.69505836,77.20419064
